порядковый номер броневика,устройство,дата-время прибытия,дата-время отъезда
0,689107,2022-08-31 09:00:00.000000000,2022-08-31 09:10:00.000000000
0,677505,2022-08-31 09:15:45.600000000,2022-08-31 09:25:45.600000000
0,688262,2022-08-31 09:31:40.800000000,2022-08-31 09:41:40.800000000
0,689150,2022-08-31 09:43:26.400000000,2022-08-31 09:53:26.400000000
0,682297,2022-08-31 09:57:28.800000000,2022-08-31 10:07:28.800000000
0,661449,2022-08-31 10:18:43.200000000,2022-08-31 10:28:43.200000000
0,669356,2022-08-31 10:29:36.600000000,2022-08-31 10:39:36.600000000
0,607509,2022-08-31 10:49:52.800000000,2022-08-31 10:59:52.800000000
0,635597,2022-08-31 11:16:14.400000000,2022-08-31 11:26:14.400000000
0,699088,2022-08-31 11:29:58.800000000,2022-08-31 11:39:58.800000000
0,635576,2022-08-31 12:03:15.000000000,2022-08-31 12:13:15.000000000
0,635295,2022-08-31 12:23:50.400000000,2022-08-31 12:33:50.400000000
0,638406,2022-08-31 12:41:09.600000000,2022-08-31 12:51:09.600000000
0,634870,2022-08-31 12:59:56.400000000,2022-08-31 13:09:56.400000000
0,698646,2022-08-31 13:40:24.600000000,2022-08-31 13:50:24.600000000
0,608096,2022-08-31 14:22:24.600000000,2022-08-31 14:32:24.600000000
0,698984,2022-08-31 14:32:56.400000000,2022-08-31 14:42:56.400000000
0,635288,2022-08-31 14:47:04.200000000,2022-08-31 14:57:04.200000000
1,606536,2022-08-31 09:00:00.000000000,2022-08-31 09:10:00.000000000
1,607047,2022-08-31 09:43:06.600000000,2022-08-31 09:53:06.600000000
1,679083,2022-08-31 10:08:45.000000000,2022-08-31 10:18:45.000000000
1,688389,2022-08-31 10:27:56.400000000,2022-08-31 10:37:56.400000000
1,606003,2022-08-31 10:45:28.800000000,2022-08-31 10:55:28.800000000
1,636065,2022-08-31 10:57:40.200000000,2022-08-31 11:07:40.200000000
1,686158,2022-08-31 11:16:09.000000000,2022-08-31 11:26:09.000000000
